speaker_name,talk_title,conf_name
Qi Zhou,Advancing Towards ZK Fraud Proof - zkGo: Compiling L2 Geth into ZK-Compatible Wasm,ETH Prague
Anne-Grace Kleczewski,Provable Compliance on Polygon Miden and beyond,ETH Prague
Tibor Tribus,ZK Proof Generation Infrastructure: Overhyped or Underutilized?,ETH Prague
Martin Derka,ZK Proof Generation Infrastructure: Overhyped or Underutilized?,ETH Prague
Jarkko Sakkinen,Login to Linux using Ethereum Name Service,ETH Prague
Vincenzo Iovino,Bank3: efficient temporary shielding of assets,ETH Prague
Pavel Losev,DAO-controlled decentralized frontends,ETH Prague
Radek Svarz,"Beyond CREATE2: Smart Contract Multi-chain Deployments with CREATEX, YAC3F, and Foundry",ETH Prague
Clara Gromaches,Towards a solarpunk co-housing future: web3 opportunities,ETH Prague
Igor Gulamov,Solving Vitalik's trilemma with zk-driven DA and Storage,ETH Prague
Kristof Hanzlik,Repurposing of city owned buildings,ETH Prague
Gil Ben-Shachar,Cairo - Writing Provable Programs,ETH Prague
,Advancing Parallel EVM: Parallel I/O via Programmable Access List and Intelligent I/O Preloading,ETH Prague
Qi Zhou,Accelerate OP Fault Proof via EIP-4844-Powered Multi-Section Dispute Game,ETH Prague
Alexander Forshtat,Time for Native Account Abstraction on L2s,ETH Prague
Richard Liu,How to add ZKPs to your app with Zupass,ETH Prague
Anthony Beaumont,Building a developer ecosystem,ETH Prague
Mario Havel,Join the Ethereum Protocol Fellowship,ETH Prague
,Creating Transformational Impact with Strategic Design and Futures Foresight: Tools and Techniques,ETH Prague
Adam Schinzel,Usability vs Security in storing your crypto,ETH Prague
,Green and blue infrastructure in cities in the light of economics and residents' preferences,ETH Prague
Akram El Milligy,Build and secure your use of a dApp with hardware device,ETH Prague
Margrethe Kolstad Brekke,In Search of Sublime Solarpunk Softpower,ETH Prague
,Closing Ceremony and Hackathon Result Announcements,ETH Prague
Shuyao,"Building the first Real-Time Blockchain, and what you can do with it",ETH Prague
Yoav Weiss,Exploring the Future of Account Abstraction in Ethereum,ETH Prague
Stephen Ajayi,The Imperative of Security in dApps: Protecting the Decentralized Ecosystem,ETH Prague
Silvan Andermatt,Blockchain for good - towards a more sustainable world,ETH Prague
,"The Social Credit System in the People's Republic of China. Origins, Plans, and the State of Affairs",ETH Prague
Pierre Sel,"The Myth of Social Credit : China, social sorting and cybernetics",ETH Prague
Richard Liu,Zupass and the ZK Data Ecosystem,ETH Prague
Victor Munoz,Sequencers in Layer 2 Scaling Solutions and Beyond,ETH Prague
Stanley Qiufan CHEN,Why Climate Fiction Matters,ETH Prague
Omar Espejel,Escape Hatches: Urgent Anti-Censorship Solutions for Specific Transactions,ETH Prague
Martina Bauerová,Public space and City greenery,ETH Prague
Barbora Lišková,Public space and City greenery,ETH Prague
Nick Gheorghita,Enter the Portal Network,ETH Prague
Kolby ML,Enter the Portal Network,ETH Prague
Dennison Bertram,Liquid staking for DAOs: fixing a broken system,ETH Prague
Tomo Tagami,Layer 2 Interoperability with BaaS (Bridge as a Service),ETH Prague
awa,Privacy is a mistake,ETH Prague
Lukasz Stoczynski,Powering up intents in DeFi,ETH Prague
Hanna Hadik,"Scaling Communities, What Like It's Hard?",ETH Prague
,Reversing the innovation flow: having rollups lead the innovation in the Ethereum ecosystem,ETH Prague
,Non Fungible Brain: A Web3 Approach to Democratizing Funding and Research for Alzheimer's Disease,ETH Prague
Kaan Uzdogan,Introducing the Verifier Alliance (VerA),ETH Prague
Sasha Tanase Luca,Making Product Development Rock with Awesome Developer Experience (DX),ETH Prague
Cathie,Optimistic Outlook: Privacy in On-Chain AI Made Affordable,ETH Prague
,Challenges of creating a sustainable and humane future for North Korea: core ideologies,ETH Prague
Stefan van der Spek,VR as Tool for Design and Research,ETH Prague
Helena Good,Daydream Believers - Solarpunk Island,ETH Prague
,"Making Future Communities Real: 20th Century Efforts, 21st Century Projects & Guiding Principles",ETH Prague
Avihu Levy,L2 on Bitcoin,ETH Prague
Javier Ron,Highly Available Ethereum Nodes with N-version design,ETH Prague
Ondřej Sojka,Pitfalls of building public goods with permissionless work,ETH Prague
,Building A Decentralized Consumer Price Index (CPI): A Paradigm Shift in Economic Transparency,ETH Prague
Christoph Jentzsch,Crowdinvesting with GmbH - Token,ETH Prague
Anjali Young,Empowering Communities and DAOs: How to Activate the “Unactivated”,ETH Prague
Giulio Corsi,"Artificial intelligence, disinformation and the future of democracy",ETH Prague
Devansh Mehta,Decentralized Outcome Funding for Investigative Reporting,ETH Prague
,"Growing Community Ecosystems: Quadratic Funding, Project Incubation, and Web2 Empowerment",ETH Prague
Grace Rachmany,"Reputation for your projects: disco, otters, oranges, hats, and passports",ETH Prague
kassandra.eth,Usurping Binance Once And For All,ETH Prague
Puncar,How To DAO - how to build sustainable business,ETH Prague
Rica,Envisioning Eco-Futures: Empowering Nature through Sovereignty and Innovation,ETH Prague
Jakub Jedlinský,10 years as a university crypto teacher,ETH Prague
Václav Pavlín,You have nothing to hide! Vol.2,ETH Prague
,Opening Ceremony,ETH Prague
Oana Barbu,Leveling Up the TEE Attestation Game On-Chain,ETH Prague
Francesco Andreoli,MetaMask Snaps: Fostering Authentic and Extensible Wallet Innovation,ETH Prague
Kineret Segal,Block Packing: Reducing L1 Costs,ETH Prague
Yulia Korovina,Making crypto space safer for the next billion users one community at a time,ETH Prague
Filip Rogalski,Oracles Reimagined: How L2 State Diffs Change Game,ETH Prague
Jose Ramirez,Enhancing AA with on-chain hierarchies: A New Approach,ETH Prague
Jayaditya Gupta,"Two Minds, One Move: A Collaborative Chess Engine",ETH Prague
Nuno Loureiro,Is Design the final frontier to mass adoption?,ETH Prague
Vojtěch Kotecký,Restoring nature in everyday life,ETH Prague
Vinay Gupta,"Global finance is arriving on the blockchain: Can we win the world, and keep our soul?",ETH Prague
Abena Asante,Designing Culture-Sensitive Hackathons for Empowering African Youth with Ethereum,ETH Prague
Gunilla Samberg,Eco Futurum,ETH Prague
Anne-Grace Kleczewski,Is DeFi Inclusive? Reimagining DeFi Towards Financial Empowerment,ETH Prague
Martin Becze,Building an open commerce protocol as public infrastructure,ETH Prague
Aylin Gorgun,From scarcity & speculation To utility & community,ETH Prague
Laura Fong Prosper,Artistic Speculations and Ecofeminist Futures,ETH Prague
Stella Schaller,Seeds of Change: Cultivating Regeneration in Urban Spaces,ETH Prague
N/A,Account Abstraction: Evolution of account ownership on Ethereum,BlockSplit
Doo Wan Nam,DAOs and Dramas,BlockSplit
N/A,Decentralized Outcome Funding for Investigative Reporting,BlockSplit
Artem Brzhniov,Degens & Dragons A Path to Sustainable Public Goods Funding,BlockSplit
Polina Aladina,How far are we from data dystopia?,BlockSplit
N/A,Privacy and Property: what is privacy in a digital age?,BlockSplit
Marija Mikic,RLWE and FHE Stealth address Protocols,BlockSplit
Clement Liesaege,"Seer, a next generation prediction market",BlockSplit
N/A,Why Croatia Is Becoming the Place to Register a Crypto Business in the EU,BlockSplit
Filip Rogalski,Rollup as a service and Oracles How do they interact,BlockSplit
Alen Mestrov,Unifying Web3 with Chain Abstraction and NEAR Protocol,BlockSplit
Ilya Volkov,Web3 Banking How traditional banks can contribute to the mass adoption of crypto,BlockSplit
Amanda Awaliszewska,Why ConcordiumBFT Matters A Developer’s Perspective on Blockchain Consensus,BlockSplit
Shirly Valge,Why privacy is needed in web3 in the growing trend of GDPR and data protection,BlockSplit
N/A,"Restaking hype, fact or fiction",BlockSplit
N/A,Payments in eCommerce - traditional and web3,BlockSplit
John Lilic,John Lilic Fireside chat,BlockSplit
Aouatef Khelloqi,Harnessing Web3 to advance the Sustainable Development Goals SDGs,BlockSplit
N/A,Croatian Success Story Strike Protocol by GDE + Koopi,BlockSplit
Corina Dolghier,Brand Building 101,BlockSplit
Dunja Ivana Ballon,Vox Populi,BlockSplit
Ida Pandur,Vox Populi,BlockSplit
Domagoj Vuković,Vox Populi,BlockSplit
Nikola škorić,Vox Populi,BlockSplit
Tomasz Rejowski,Test flavours of smart contracts,BlockSplit
Kamil Jankowski,Test flavours of smart contracts,BlockSplit
Marijo Radman,Navigating the Complexities of Restaking in Web3,BlockSplit
Geoff Goodell,The Future of Money,BlockSplit
Nino Borović,Solana State Compression - Building large-scale Web3 experiences at low cost,BlockSplit
Jaša Šrot,How V4 DEXs Will Change Liquidity Providing & Yield Strategies,BlockSplit
Sylvia Sanchez,Blockchain Policy Principles,BlockSplit
Marek Kowalski,What to do when tx reverts and the revert reason is swallowed?,BlockSplit
Maxim Andreev,EVMole: function selectors and arguments from bytecode,BlockSplit
Laura Bosazzi,"The Good, the Bad, and the Ugly of crypto UX",BlockSplit
Paula Vulić,Web3 Marketing: Striking a Balance between Degen Culture and Professionalism,BlockSplit
Jantine Derksen,From Creator Economy to Collaborative Economy,BlockSplit
Dejan Radić,MPC beyond Custody Applications,BlockSplit
Irena Soljic,Blockchain in the Food Industry,BlockSplit
N/A,PITCH 2 - FINAL,BlockSplit
Engn33r,Context is EVERYTHING,BlockSplit
Francesco Sarcone,The Sound of Pasta as an NFT,BlockSplit
Emir Kurtovic,The Intersection of Blockchain and Gaming,BlockSplit
Eugen Družin,"Gas fees below 1c, what is behind EIP-4844?",BlockSplit
Anna Kaic,Regenerating the Earth One Local Node At The Time,BlockSplit
N/A,PITCH 1 - FINAL,BlockSplit
Alen Šalamun,Security Challenges Facing Blockchain Crypto Wallet Users,BlockSplit
Armin Konjalic,Mass-adoption of cryptocurrencies,BlockSplit
Joshua Bate,How does DeSci collaborate with Traditional Academia?,BlockSplit
Joshua Bate,How does DeSci accelerate scientific progress?,BlockSplit
Veronica Kirin,Personal and group empowerment with DeSci,BlockSplit
Albert Anis,Personal and group empowerment with DeSci,BlockSplit
Bharat Harbham,Personal and group empowerment with DeSci,BlockSplit
Manuel Olariu,How to grow the DeSci ecosystem,BlockSplit
Grant Blaisdell,How Tokenizing Space Assets Fuels Solutions for Earth,BlockSplit
dr. Boris J. Nachtsheim,Smooth routes to Disruptive Innovation in Scientific Publishing,BlockSplit
dr. Leonie Raijmakers,DeSci Nodes FAIR digital research object on an open protocol,BlockSplit
Philipp Koellinger,Scientific Communities and Next Generation Journals on DeSci Nodes Application,BlockSplit
Bharat Harbham,MuseMatrix Advancing DeSci through Community Collaboration,BlockSplit
Albert Anis,Fixing the climate faster with DeSci+Bio,BlockSplit
Veronica Kirin,AsteriksDAO Rethinking Women’s Non Reproductive Health,BlockSplit
Friederike Kleinfercher,Exploring Decentralized Science,BlockSplit
Belma Gutlić,"Open Source, Open Possibilities My Journey Through Web3 Startup Exit",BlockSplit
Daniel Ospina,Swarms How to reinvent entrepreneurship and DAOs to be decentralized and effective,BlockSplit
Petar Atanasovski,Collaborative Investments Can DAOs shape the fundraising future,BlockSplit
N/A,BlockSplit 5 Livestream Day 2,BlockSplit
N/A,BlockSplit 5 Livestream Day 1,BlockSplit
Eric Bishard,MetaMask SDK Workshop,ETH Lisbon
Andrey Falaleyev,How to Scale Ethereum DApps with Neon EVM,ETH Lisbon
Richard Gottleber,Chainlink Walkthrough,ETH Lisbon
Illia Polosukhin,Building Composable Decentralized Frontends for Ethereum Apps,ETH Lisbon
Jayden Windle,Intro to ERC 6551 - Token Bound Accounts,ETH Lisbon
Matt Kielczewski,Building Community in Web3,ETH Lisbon
Miguel Palhas,Let's fix our developer experience,ETH Lisbon
Sarah Schwartz,Writing High Performance Smart Contracts in Rust: Crash Course on Sway,ETH Lisbon
Carlo Fragni,Billions of Reasons to Use Cartesi,ETH Lisbon
Tyllen Bicakcic,An Introduction To Building On Uniswap,ETH Lisbon
Jess Glover,Build with GHO: rAAVE tickets,ETH Lisbon
Nicholas Fett,Building on Gnosis Chain: Using real world information with Tellor,ETH Lisbon
Miguel Piedrafita,Global Proof of Personhood in the Age of AI,ETH Lisbon
Nader Dabit,A Workshop for Building Full Stack Web3 Social Applications,ETH Lisbon
Sergej Kunz,1inch Fusion: a new standard for decentralized swaps,ETH Lisbon
Sahra Karakoç,Faster subgraphs with substreams,ETH Lisbon
Emily Lin,Build with Linea: An L2 crash course,ETH Lisbon
Kelvin Fichter,Launch your own Rollup with the OP Stack in 30 minutes,ETH Lisbon
Kirill Fedoseev,Integrating zkBob privacy into DeFi workflows,ETH Lisbon
Amean Asad,Intro to FVM & Filecoin Storage Deal Demo,ETH Lisbon
Stani Kulechov,Fireside chat,ETH Lisbon
Vitalik Buterin,Ethereum as a Platform of Platform for Dapps,modular summit
Ethan Buchman,How to Win Friends and TEE-fluence People,modular summit
Abril Zucchi,Morph: Decentralized vs Centralized Sequencers: Everything on Sequencers in Layer 2s,modular summit
Andrew Miller,The TEE Stack,modular summit
Zaki Manian,Chain Abstraction: Chewing Glass to a better blockchain ecosystem,modular summit
Ismail Khoffi,Modular Expansion: The Celestia Technical Roadmap,modular summit
Terry,You only need one rollup,modular summit
Josh Bowen,Blatantly Shilling Astria,modular summit
Bikem Bengisu,An Essential Guide to Declarative Blockchains whiteboard session,modular summit
Simon Roberts,An Essential Guide to Declarative Blockchains whiteboard session,modular summit
Connor O'Hara,Light Nodes Everywhere: Why & How,modular summit
Mustafa Al-Bassam,State of the Modular Union,modular summit
Baz,Tools for scaling conspiracies,modular summit
Eric Wall,Is Bitcoin Going Modular?,modular summit
Shea kutsdever,MEV in 2025,modular summit
Ethan Buchman,"Defund the Dealers: the Past, Present, and Future of Liquidity",modular summit
Hart Lambur,Solving Interoperability with Cross-Chain Intents,modular summit
Ryan Quinn Ford,Deimos: Fixing E2E Encryption using Celestia,modular summit
Mark Tyneway,Putting the Super in Superchain: OP Stack Interoperability,modular summit
Namik Muduroglu,WTF IS A REAL-TIME BLOCKCHAIN,modular summit
Jesse,10 Minute Interwoven Rollup with Initia and NewMetric,modular summit
Swen Schaeferjohann,Light Protocol: ZK compression on Solana whiteboard session,modular summit
Nashqueue,ZK Accounts,modular summit
Gjermund Garaba,Pessimistic Validation,modular summit
Jacob Arluck,The Lazy Application Thesis,modular summit
Billy Rennekamp,Minimum Viable Game Chain Validium,modular summit
Peyman Momeni,Modular Encryption: Make Apps Fun Again,modular summit
Dev Ojha,Lowering Consensus Confirmation Times,modular summit
Victor Ionescu,Introducing Exchange OS,modular summit
Callum Waters,A letter to the next web3 generation,modular summit
Xinyuan Sun,Unlocking A New Dimension of Application Design with TEE Stack,modular summit
Barry Plunkett,Blowing Up Modular Toll Booths,modular summit
Alex Gluchowski,Elastic Chains,modular summit
Henry de Valence,Dark Rollups,modular summit
Toghrul Maharramov,Shared Security is a Psyop,modular summit
Anurag Arjun,Unification: Solving L2 fragmentation with Avail Nexus,modular summit
Vishal Talasani,How Sovereign Rollups *Actually* Work,modular summit
Achilleas Sarantaris,From Artworks to Artchains,modular summit
Uma Roy,How zkVMs are upgrading the modular stack,modular summit
Nashqueue,Fast Blocks Slow Squares (FBSS) whiteboard session,modular summit
Nick White,Sovereignty is all you need,modular summit
Philipp Zentner,A vertical slice of the liquidity market and why solving is hard,modular summit
Jordan Oroshiba,Building with the Astria Stack,modular summit
Joe Coll,WITNESS Protocol: Using Verifiable Data Structures to Scale Onchain Verifiability,modular summit
Patrick O'Grady,Vryx: Fortifying Decoupled State Machine Replication,modular summit
Jonah Burian,Protocol MEV Capture,modular summit
Dev Bear,BeaconKit: A modular framework for building EVM consensus clients,modular summit
James Prestwich,Client Monogamy: Settle down and marry one already,modular summit
Misha Putiatin,Modular Security: Enabling custom mechanisms for decentralization with Symbiotic,modular summit
Andrea Fortugno,MagicBlock Engine: Ephemeral Rollups for real-time onchain games on Solana,modular summit
Sandeep Nailwal,The Age of Aggregation,modular summit
Gabriel Barros,NextGen dApps: building with RISC-V,modular summit
João Garcia,NextGen dApps: building with RISC-V,modular summit
Vincenzo Furcillo,Ensuring Data Availability in Layer 2 Scaling Solutions: L2BEAT Risk Framework,modular summit
Niraj Pant,Ritual Talk,modular summit
Rushi Manche,Embracing Modularity: The Future of Blockchain Innovation,modular summit
Evan Forbes,Based Rollups and Fork Choice Rules whiteboard session,modular summit
Evan Forbes,"Based Rollups are Based, Fork Choice Rules Rule",modular summit
Jon Kol,Don't Buy the Hype,modular summit
Matthew Wang,Native intelligence through compute-specific networks,modular summit
Josh Stein,Celestia Workshop: How to Build Whatever,modular summit
John Adler,It's All Resource Pricing,modular summit
Hilmar Orth,Learnings on Layer 2s,modular summit
Emmanuel Awosika,Layer 2s as Extensions of Ethereum,modular summit
Dmarz,ModulariTEE: Control Your Information Flow,modular summit
Tarun Chitra,How to Reason about Contagion Risk within the Modular Stack,modular summit
Jessica Gaubert,Harnessing Real-World Assets with Web3 Applications in Emerging Markets,modular summit
Wondertan,Scaling DA sampling with Shwap,modular summit
Vlad Krinitsin,Scaling DA sampling with Shwap,modular summit
Zon,Rebuilding Rollups,modular summit
RG,Sovereign Scale-free Reputation Systems,modular summit
Jelena Djuric,Solving native asset issuance in a modular ecosystem,modular summit
John DiBernardi,Exploring DeFund - A Sovereign Rollup for the Modular Ecosystem,modular summit
Zaki Manian,Chain Abstraction: Chewing Glass to a better blockchain ecosystem,modular summit
Henry de Valence,Penumbra whiteboard session,modular summit
Alexander Mangel,The Recipe,modular summit
Unknown,Panel: What application innovation can block building / solving / sequencing uniquely enable?,modular summit
Felipe Argento,User Journey of an App Developer in Designing an App Rollup,modular summit
Kai Tiurin,LSTs for the Modular Stack,modular summit
Liz Yang,Transforming the anime industry with AnimeChain,modular summit
Shumo Chu,"NEBRA UPA: ZK Broadband Unlocks Scaling, Privacy and Interoperability",modular summit
Yarik,Rollkit: Building Sovereign Rollups with Rollkit,modular summit
Scott Sunarto,How Geolocalized Sharded Rollups Redefine the Future of Onchain Compute,modular summit
Nitya Subramanian,On & Offchain Approaches to Chain Abstraction,modular summit
Unknown,Panel: Bitcoin goes modular,modular summit
Unknown,Panel: Sovereign Rollups,modular summit
Matt Cutler,Gas Matters: New Sources of Base Fee Volatility,modular summit
Andrew Huang,Rollups in the wild,modular summit
Shane Vitarana,Real-time Rollups and Bitcoin Security: Can We Have Both?,modular summit
Jim Chang,The Bridge Endgame: Liquidity for Infinity Chains,modular summit
Stani Kulechov,Lens Fireside Chat,modular summit
Tobias Schreier,Economics of Ethereum Scaling Solutions,modular summit
Tracy,Signal vs Noise: Why AI broke the internet and how cryptography is going to fix it,modular summit
Bo Du,The Network Layer for Interoperability,modular summit
Mads Mathiessen,"Why Developers are building Modular, not Monolithic",modular summit
Larry Lyu,Grug,modular summit
Daniel Olshansky,Modular Protocol Development for Modular Networks via Modular LocalNet Components,modular summit
Mariano Cortesi,How to migrate an L1 to an L2,modular summit
Harry Halpin,Modular Anonymous Networking,modular summit
Mitya Argunov,Unlocking Liquidity for the Modular Economy,modular summit
DinoEggs,Blended Execution,modular summit
JayB,MilkyWay: Modular Staking Hub,modular summit
Norswap,"Zero Friction, happy users, happy chain — What if everyone could use the chain?",modular summit
Unknown,Panel: Protocol Researcher Meets Applications with Users,modular summit
Laura Jaramillo,The Broken Record: a Framework of Music and Power,modular summit
Vyas Krishnan,EigenLayer: Verifiable Cloud and Digital Coordination,modular summit
Arjun Bhuptani,Think Outside the Chain: How Clearing Layers Help Us Solve Modular Fragmentation,modular summit
Unknown,Panel: One big rollup OR one million rollups?,modular summit
Andra Fecioru,Stop flying blind - data for modular ecosystem,modular summit
Ismael Hishon-Rezaizadeh,Giving a Verifiable Database to Every Smart Contract,modular summit
Bunny,Discover the Infinite Frontier: Search the Unified Multichain & MultiVM World,modular summit
Steven Li,Unlocking Boundless Compute and the Next Generation of Verifiable Applications,modular summit
Orkun Kilic,Hyperbitcoinization Through Modularity,modular summit
Hector Roussille,Summoning Blobstream,modular summit
Lavysh Alexander,Navigating the Celestia Network: Validating Apps and Interactions via Celenium,modular summit
Unknown,Panel: Creator Tooling in the Modular Era,modular summit
Brian Breslow,Native MACI-enabled Quadratic Funding for Celestia,modular summit
Unknown,Panel: Autonomous worlds and bespoke execution environments,modular summit
Rich,Building Compelling Composable Games,modular summit
Tarrence,Think Outside the Block,modular summit
Ben,Build a Connected Sovereign Rollup with Union Inbetween,modular summit
Simon Hudson,Creating a Decentralized Autonomous Artist,modular summit
